"review_title","review_text","review_star","page"
"







  
  
    Defective products
  
","









  
  
    
  The product did not work. Don’t recommend buying from this seller

  
","1.0 out of 5 stars",183
"







  
  
    Iphone x 256Gb
  
","









  
  
    
  It looks good. I like it

  
","4.0 out of 5 stars",183
"







  
  
    Liked it!
  
","









  
  
    
  Very affordable phone for our teenager. Works well too.

  
","5.0 out of 5 stars",119
"







  
  
    Nice phone
  
","









  
  
    
  I’m loving my new phone, although the battery could be better!

  
","5.0 out of 5 stars",119
"







  
  
    Too good to be true.
  
","









  
  
    
  I have AT&T and it’s showing VERIZON... i can literally see the background while watching or using different apps. I would not recommend buying this phone.

  
","1.0 out of 5 stars",119
"







  
  
    Battery life and screen is good. Pretty smooth for a two year old phone.
  
","









  
  
    
  A good phone in good condition. Battery life shows 100%. Very minor scratches here and there that you’ll never notice. Will update the review in a few months to let you know whether the performance is still good.

  
","5.0 out of 5 stars",119
"







  
  
    Excellent exterior
  
","









  
  
    
  Excellent exterior without any scratches. Looks good. Will use it and post an update on how it works.

  
","5.0 out of 5 stars",119
"







  
    Buena compra
  
  
","









  
    
  El celular llego desbloqueado y en buenas condiciones, tiene algunos rayones pero en general está bien, la batería llego con un 85% de vida útil un poco baja pero bien.

  
  
","4.0 out of 5 stars",119
"







  
  
    Good quality
  
","









  
  
    
  It’s a tad bigger than my iPhone 7. Big upgrade , I just didn’t know that I needed a whole new SIM card to activate the phone.  No big deal.  I love it tho.  Best decision I’ve made.

  
","5.0 out of 5 stars",119
"







  
  
    Satisfied customer
  
","









  
  
    
  Was in great condition. Battery capacity was at 86%. Couldn’t be happier honestly for the price. Definitely recommend this seller

  
","5.0 out of 5 stars",119
"







  
  
    Waste of money
  
","








  Your browser does not support HTML5 video.

   They send me a phone with a display thay doest function good....waste of money<U+0001F62A><U+0001F62A><U+0001F62A>

  
","3.0 out of 5 stars",119
"







  
  
    Great phone, great price!
  
","









  
  
    
  Beautiful phone, looked brand new! Battery health at 90%! Did have ""ghost touch"" (common issue with iPhone X, but applefixed it for free!

  
","4.0 out of 5 stars",119
"







  
  
    Phone still broken
  
","









  
  
    
  Screen or software is still broken. Phone freezes up or starts clicking and opening random things on the phone and locks you out on whatever you are doing. Maybe I just got a bad phone but definitely not worth the price and will be returning.

  
","1.0 out of 5 stars",75
"







  
  
    Phone condition
  
","









  
  
    
  Phone is in great condition when I just got it the phone was heating up a bit too quickly but that was probably because I was using it too much and the SIM card just doesn’t recognize the chip sometimes and I have to pop it out and back but apart from that great phone it just has the used phone issues listed above. Recommend 100% save some money

  
","4.0 out of 5 stars",75
"







  
    Great phone
  
  
","









  
    
  Buen teléfono ninguna falla solamente batería 8/10

  
  
","4.0 out of 5 stars",75
"







  
  
    Unbelievable! I received my Apple iPhone X in very good conditions.
  
","









  
  
    
  I really enjoyed the iPhone X I purchased on Amazon. Everything looks new, without visible scratches, and it's working well.I could not believe that I would get a renewed iPhone from Amazon in such a good conditions. I planning to get another one for my wife soonest. Thank you.

  
","4.0 out of 5 stars",75
"







  
  
    Like New
  
","









  
  
    
  Like brand new, no noticeable wear signs. No issues with phone yet.

  
","5.0 out of 5 stars",75
"







  
  
    2nd reconditioned unit and it isn't 100% either
  
","









  
  
    
  Still can't get it to ring--only vibrate.  Battery is barely 80%.  And it's a iPhone.  Should have stuck with Samsung

  
","3.0 out of 5 stars",75
"







  
  
    It works and looks like a new phone please.
  
","









  
  
    
  The phone was for me it looks new everything seems to work great happy with.

  
","5.0 out of 5 stars",75
"







  
  
    Supper
  
","









  
  
    
  Bought this in time of need and later read some negative reviews that had me worried.  Not sure what the Karen’s are complaining about.  Phone doesn't have a scratch on it and a brand new battery.  Honestly it looks and performs better than expected.

  
","5.0 out of 5 stars",75
"







  
  
    Glitching
  
","









  
  
    
  I am not happy with this purchase. The first day I used this iPhone it started glitching, clicking, and zooming on it’s own and hasn’t stopped since. I really should have fully read all the reviews before making this purchase. Not worth it.

  
","1.0 out of 5 stars",75
"







  
  
    Value for your money
  
","









  
  
    
  Very good quality product, easy to set up, excellent cosmetic condition.It worked with the side by side data transfer from iPhone 7.

  
","5.0 out of 5 stars",75
"







  
  
    Great
  
","









  
  
    
  It was good

  
","5.0 out of 5 stars",186
"







  
  
    Messed up speakers
  
","









  
  
    
  The speakers are messed up

  
","1.0 out of 5 stars",186
"







  
  
    Good gift
  
","









  
  
    
  good gift

  
","5.0 out of 5 stars",186
"







  
  
    Very satisfied!
  
","









  
  
    
  This phone had no blemishes at all.Very satisfied with it.

  
","5.0 out of 5 stars",186
"







  
  
    <U+0001F44D>
  
","









  
  
    
  Got the phone, all good

  
","5.0 out of 5 stars",186
"







  
  
    Nice Phone
  
","









  
  
    
  Everything is fine so far. Had the phone for two weeks.

  
","5.0 out of 5 stars",186
"







  
  
    My purchase
  
","









  
  
    
  It was a good buy. Great cost-benefit rateio.

  
","5.0 out of 5 stars",186
"







  
  
    Wasn’t worth buying
  
","









  
  
    
  phone is nice no scratches or nothing. But it won’t take a charge .

  
","5.0 out of 5 stars",186
"







  
  
    Best
  
","









  
  
    
  Awesome

  
","5.0 out of 5 stars",186
"







  
  
    great
  
","









  
  
    
  Reliable !

  
","4.0 out of 5 stars",186
"







  
  
    Amazing delivery and product.
  
","









  
  
    
  No screech, it looks fully new.

  
","5.0 out of 5 stars",197
"







  
  
    Wonderful iPhone x
  
","









  
  
    
  Fantastic condition

  
","5.0 out of 5 stars",197
"







  
  
    i recommend this seller
  
","









  
  
    
  everything was perfect and as described ... i love it thanks so much

  
","5.0 out of 5 stars",197
"







  
  
    iPhone x
  
","









  
  
    
  Great phone

  
","5.0 out of 5 stars",197
"







  
  
    <U+0001F603>
  
","









  
  
    
  Super impressive. Thank you

  
","5.0 out of 5 stars",197
"







  
  
    Great deal
  
","









  
  
    
  Gave it away as a gift. But they say that the phone works fine

  
","4.0 out of 5 stars",197
